"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jan 02 12:05:17 GMT 2024","Tue Jan 02 12:05:47 GMT 2024","30254","","Calculadora","","","","Operações Matemáticas {""a"":""2"",""b"":""2"",""operador"":""somar"",""total"":""4""}",""
"passed","Tue Jan 02 12:05:17 GMT 2024","Tue Jan 02 12:06:49 GMT 2024","92116","","Calculadora","","","","Operações Matemáticas {""a"":""9"",""b"":""3"",""operador"":""dividir"",""total"":""3""}",""
"passed","Tue Jan 02 12:05:17 GMT 2024","Tue Jan 02 12:06:18 GMT 2024","61307","","Calculadora","","","","Operações Matemáticas {""a"":""7"",""b"":""3"",""operador"":""subtrair"",""total"":""4""}",""
"passed","Tue Jan 02 12:05:17 GMT 2024","Tue Jan 02 12:07:20 GMT 2024","122988","","Calculadora","","","","Operações Matemáticas {""a"":""8"",""b"":""9"",""operador"":""multiplicar"",""total"":""72""}",""
