"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Jan 02 11:51:26 GMT 2024","Tue Jan 02 11:51:28 GMT 2024","1487","","Calculadora","","","","Operações Matemáticas {""a"":""9"",""b"":""3"",""operador"":""dividir"",""total"":""3""}",""
"failed","Tue Jan 02 11:51:26 GMT 2024","Tue Jan 02 11:51:27 GMT 2024","852","","Calculadora","","","","Operações Matemáticas {""a"":""2"",""b"":""2"",""operador"":""somar"",""total"":""4""}",""
"failed","Tue Jan 02 11:51:26 GMT 2024","Tue Jan 02 11:51:28 GMT 2024","1800","","Calculadora","","","","Operações Matemáticas {""a"":""8"",""b"":""9"",""operador"":""multiplicar"",""total"":""72""}",""
"failed","Tue Jan 02 11:51:26 GMT 2024","Tue Jan 02 11:51:27 GMT 2024","1170","","Calculadora","","","","Operações Matemáticas {""a"":""7"",""b"":""3"",""operador"":""subtrair"",""total"":""4""}",""
