"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 30 11:58:48 GMT 2023","Thu Nov 30 12:00:19 GMT 2023","91299","","Calculadora","","","","Operações Matemáticas {""a"":""9"",""b"":""3"",""operador"":""dividir"",""total"":""3""}",""
"passed","Thu Nov 30 11:58:48 GMT 2023","Thu Nov 30 12:00:51 GMT 2023","123161","","Calculadora","","","","Operações Matemáticas {""a"":""8"",""b"":""9"",""operador"":""multiplicar"",""total"":""72""}",""
"passed","Thu Nov 30 11:58:48 GMT 2023","Thu Nov 30 11:59:18 GMT 2023","30443","","Calculadora","","","","Operações Matemáticas {""a"":""2"",""b"":""2"",""operador"":""somar"",""total"":""4""}",""
"passed","Thu Nov 30 11:58:48 GMT 2023","Thu Nov 30 11:59:49 GMT 2023","60775","","Calculadora","","","","Operações Matemáticas {""a"":""7"",""b"":""3"",""operador"":""subtrair"",""total"":""4""}",""
