"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Nov 29 21:23:10 GMT 2023","Wed Nov 29 21:24:44 GMT 2023","93828","","Calculadora","","","","Operações Matemáticas {""a"":""9"",""b"":""3"",""operador"":""dividir"",""total"":""3""}",""
"failed","Wed Nov 29 21:23:10 GMT 2023","Wed Nov 29 21:25:48 GMT 2023","158216","","Calculadora","","","","Operações Matemáticas (FALHA PROPOSITAL)",""
"passed","Wed Nov 29 21:23:10 GMT 2023","Wed Nov 29 21:24:14 GMT 2023","63670","","Calculadora","","","","Operações Matemáticas {""a"":""7"",""b"":""3"",""operador"":""subtrair"",""total"":""4""}",""
"passed","Wed Nov 29 21:23:10 GMT 2023","Wed Nov 29 21:23:44 GMT 2023","33644","","Calculadora","","","","Operações Matemáticas {""a"":""2"",""b"":""2"",""operador"":""somar"",""total"":""4""}",""
"passed","Wed Nov 29 21:23:10 GMT 2023","Wed Nov 29 21:25:18 GMT 2023","128136","","Calculadora","","","","Operações Matemáticas {""a"":""8"",""b"":""9"",""operador"":""multiplicar"",""total"":""72""}",""
