"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Nov 30 12:17:22 GMT 2023","Thu Nov 30 12:17:53 GMT 2023","30404","","Calculadora","","","","Operações Matemáticas {""a"":""2"",""b"":""2"",""operador"":""somar"",""total"":""4""}",""
"passed","Thu Nov 30 12:17:22 GMT 2023","Thu Nov 30 12:19:24 GMT 2023","121460","","Calculadora","","","","Operações Matemáticas {""a"":""8"",""b"":""9"",""operador"":""multiplicar"",""total"":""72""}",""
"passed","Thu Nov 30 12:17:22 GMT 2023","Thu Nov 30 12:18:23 GMT 2023","60691","","Calculadora","","","","Operações Matemáticas {""a"":""7"",""b"":""3"",""operador"":""subtrair"",""total"":""4""}",""
"passed","Thu Nov 30 12:17:22 GMT 2023","Thu Nov 30 12:18:53 GMT 2023","90344","","Calculadora","","","","Operações Matemáticas {""a"":""9"",""b"":""3"",""operador"":""dividir"",""total"":""3""}",""
